year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
2011,126266,Diesel,Manual,Second Owner,10,1832,104,6,10456242
2019,193075,Petrol,Automatic,Second Owner,15,1708,182,6,10401433
2015,8679,CNG,Manual,Third Owner,18,2271,142,4,10852549
2012,45308,Diesel,Automatic,Third Owner,10,1817,63,5,10537898
2011,175914,Diesel,Automatic,Third Owner,12,2394,190,5,10626856
2015,190010,Petrol,Manual,Third Owner,22,2144,86,6,10419557
2015,10695,Diesel,Automatic,First Owner,14,1948,174,7,10836829
2008,63499,CNG,Manual,First Owner,13,840,198,7,10367798
2012,28382,CNG,Automatic,Third Owner,10,1886,46,5,10583799
2007,19235,Diesel,Automatic,Second Owner,19,1815,43,5,10580782
2006,198295,CNG,Automatic,Third Owner,13,884,143,6,10005599
2016,138438,CNG,Manual,Third Owner,13,1006,91,5,10218926
2010,163539,Petrol,Manual,First Owner,20,960,121,6,10097123
2006,195388,Diesel,Manual,Second Owner,21,1249,119,7,10159766
2005,117468,Diesel,Manual,First Owner,19,2963,87,5,10747524
2016,11764,Petrol,Manual,Second Owner,22,1161,134,7,10552458
2016,118831,Petrol,Manual,First Owner,13,2074,105,7,10607221
2021,66836,Petrol,Automatic,Third Owner,12,1830,149,4,10652585
2014,36923,Petrol,Automatic,Second Owner,16,2660,164,6,10927129
2020,100711,CNG,Manual,First Owner,10,2210,166,6,10738762
2019,21292,CNG,Manual,Third Owner,11,1730,139,6,10742371
2019,129913,Petrol,Manual,First Owner,10,2193,79,4,10572531
2016,137686,Diesel,Automatic,First Owner,23,2371,74,6,10580525
2007,25939,Diesel,Manual,First Owner,13,1562,63,4,10500188
2009,23800,Diesel,Manual,Third Owner,14,2926,133,5,10977424
2011,61440,Petrol,Manual,Second Owner,20,2621,148,4,10888946
2013,159318,CNG,Automatic,First Owner,24,2606,142,7,10677680
2011,132521,CNG,Automatic,Third Owner,19,2044,191,6,10554049
2022,188877,CNG,Automatic,First Owner,14,2531,132,4,10637647
2008,126327,CNG,Automatic,Second Owner,11,2422,43,4,10535907
2018,54648,Diesel,Manual,First Owner,20,2393,144,4,10815419
2022,120192,Diesel,Manual,Third Owner,12,2818,117,4,10834341
2013,192923,CNG,Manual,First Owner,13,2235,191,5,10509536
2006,167760,Petrol,Automatic,First Owner,19,1920,141,5,10404475
2019,98498,CNG,Manual,Second Owner,15,2481,155,5,10825058
2011,34764,CNG,Automatic,Second Owner,15,2724,137,6,10906176
2016,37470,Petrol,Manual,Second Owner,21,1267,75,4,10427624
2012,174573,CNG,Manual,First Owner,11,2865,118,5,10732668
2019,62207,Diesel,Manual,Third Owner,11,2007,74,6,10630890
2007,67157,Petrol,Manual,First Owner,18,1966,68,7,10571534
2018,139288,Petrol,Automatic,First Owner,21,2286,75,7,10564036
2021,158144,CNG,Automatic,First Owner,11,2157,107,6,10581842
2008,98778,Diesel,Automatic,First Owner,11,861,178,4,10239926
2022,135016,Diesel,Manual,Second Owner,12,962,94,4,10268717
2012,129288,Diesel,Automatic,Second Owner,24,1351,88,7,10334109
2008,173204,CNG,Manual,Second Owner,18,1883,96,4,10359798
2006,115573,CNG,Manual,Second Owner,23,2051,138,4,10513408
2010,125730,Diesel,Manual,Third Owner,15,1038,126,4,10255117
2014,153933,CNG,Manual,First Owner,20,2931,94,4,10708315
2008,69186,Diesel,Manual,First Owner,24,2840,95,5,10841585
2022,9960,CNG,Automatic,First Owner,24,1237,113,5,10528003
2016,23781,Petrol,Automatic,Third Owner,21,1328,43,4,10454643
2006,36126,Petrol,Manual,Third Owner,15,904,148,6,10394428
2014,158650,CNG,Manual,Second Owner,21,1181,192,5,10343863
2008,111034,CNG,Automatic,First Owner,19,2038,169,4,10580178
2018,22883,Diesel,Manual,First Owner,14,950,186,5,10564547
2020,34782,Petrol,Automatic,Third Owner,24,2197,127,6,10829837
2019,61387,Diesel,Manual,First Owner,16,2593,175,6,10947107
2012,153051,CNG,Automatic,Third Owner,20,1430,103,5,10265641
2018,38746,Diesel,Manual,Second Owner,24,1221,173,4,10566041
2012,71266,Diesel,Automatic,Third Owner,13,1445,123,4,10519492
2020,5056,CNG,Manual,First Owner,24,2767,53,7,10960897
2017,36457,Petrol,Manual,Third Owner,19,1006,143,4,10480437
2022,138315,Diesel,Manual,Third Owner,19,1633,144,6,10497316
2019,191103,CNG,Manual,Second Owner,12,2300,165,6,10556691
2017,137773,Diesel,Manual,First Owner,16,1025,110,6,10188971
2013,192453,CNG,Automatic,First Owner,23,1603,148,7,10283586
2019,186510,CNG,Manual,Second Owner,19,2626,69,7,10581774
2017,78839,CNG,Manual,Third Owner,10,2657,47,7,10723865
2005,85636,Petrol,Manual,Third Owner,15,2953,181,6,10916393
2011,112697,Petrol,Manual,First Owner,22,1315,87,5,10264253
2013,71483,CNG,Automatic,Third Owner,20,2646,67,4,10806764
2005,25505,Petrol,Automatic,Second Owner,20,986,173,4,10401214
2016,142625,Diesel,Automatic,First Owner,20,2798,197,5,10872048
2012,38525,Petrol,Manual,Third Owner,11,1447,171,5,10583776
2015,101008,Petrol,Manual,Second Owner,11,2865,139,4,10867678
2021,49348,Diesel,Manual,Second Owner,20,1084,106,4,10433329
2012,12273,Diesel,Manual,First Owner,17,1813,177,7,10724510
2007,69236,Diesel,Manual,First Owner,12,1449,141,7,10455091
2007,139607,CNG,Automatic,Third Owner,18,2567,66,5,10620349
2005,154749,Diesel,Automatic,Third Owner,13,2042,114,5,10416951
2009,112157,Diesel,Automatic,Third Owner,23,2767,139,6,10764109
2014,5908,Diesel,Manual,Second Owner,15,1055,74,5,10419057
2011,113352,CNG,Automatic,Second Owner,10,2097,52,5,10522193
2013,100967,Petrol,Automatic,Third Owner,20,2636,159,6,10859711
2011,93989,CNG,Manual,First Owner,24,2844,94,4,10774434
2013,40079,Petrol,Automatic,Second Owner,19,2862,82,7,10922894
2012,116889,Diesel,Manual,Second Owner,19,978,112,6,10242536
2016,54323,CNG,Manual,Third Owner,12,2226,107,5,10791163
2006,181392,CNG,Manual,First Owner,13,887,82,5,9992115
2005,94909,Petrol,Manual,Second Owner,14,2941,79,4,10754359
2020,51105,CNG,Manual,First Owner,22,1644,153,7,10691985
2009,166236,CNG,Automatic,Second Owner,10,827,198,7,10143488
2007,137957,Petrol,Manual,First Owner,23,2833,42,7,10672020
2016,193891,CNG,Manual,First Owner,13,2922,160,7,10729854
2012,6049,CNG,Automatic,Second Owner,14,853,184,4,10508339
2007,58281,Diesel,Manual,First Owner,13,1120,119,6,10377115
2005,48271,Diesel,Manual,Second Owner,19,2595,78,4,10809361
2007,71697,Diesel,Automatic,Second Owner,19,2053,136,5,10627907
2009,41534,Diesel,Automatic,First Owner,16,2625,116,4,10824954
2019,98034,Diesel,Manual,Second Owner,17,1131,115,5,10347167
2018,63097,CNG,Automatic,First Owner,21,2517,186,4,10869657
2007,189885,CNG,Manual,Second Owner,17,1116,61,7,10067832
2005,30037,Diesel,Automatic,First Owner,12,2948,47,7,10925828
2009,172079,Petrol,Automatic,Second Owner,22,2802,147,6,10704114
2018,32278,Diesel,Manual,Second Owner,14,1020,167,7,10535541
2011,144344,CNG,Manual,Third Owner,19,2162,57,4,10496571
2013,193255,Petrol,Manual,Second Owner,24,947,173,5,10125282
2019,104173,Diesel,Automatic,Second Owner,17,2722,43,6,10704614
2019,43294,Petrol,Automatic,First Owner,16,2532,156,6,10921735
2014,78277,Diesel,Automatic,First Owner,23,1277,51,4,10388119
2017,198581,CNG,Manual,First Owner,18,2623,151,4,10596627
2011,9694,Diesel,Automatic,First Owner,22,2009,76,7,10754287
2021,63150,Petrol,Manual,Third Owner,19,969,41,7,10288492
2008,72470,CNG,Manual,Third Owner,16,2626,42,7,10749143
2009,26556,Diesel,Automatic,First Owner,11,2367,124,6,10833929
2011,185927,Diesel,Automatic,First Owner,13,1100,78,6,10117719
2017,54086,Diesel,Automatic,First Owner,21,2677,116,5,10901812
2019,154979,Diesel,Automatic,First Owner,23,2991,151,6,10812237
2015,184559,CNG,Automatic,Second Owner,21,1322,57,7,10162638
2008,165230,CNG,Manual,First Owner,17,2309,52,6,10429641
2017,156365,Diesel,Automatic,Second Owner,18,1621,53,6,10287844
2011,181833,CNG,Manual,First Owner,16,994,80,6,10083143
2006,104468,Petrol,Automatic,Third Owner,14,1265,79,5,10231095
2014,38387,CNG,Automatic,Third Owner,10,899,128,6,10341169
2017,176822,Petrol,Manual,First Owner,24,915,140,5,10177810
2010,73602,Petrol,Automatic,Third Owner,18,1179,87,6,10368414
2016,157328,CNG,Automatic,Third Owner,21,2418,49,5,10513557
2016,141666,Diesel,Manual,Third Owner,15,2910,160,7,10785121
2015,7460,CNG,Manual,Third Owner,11,2979,93,5,11042924
2011,77356,Petrol,Automatic,Second Owner,20,2071,191,4,10749737
2005,59698,Petrol,Automatic,Second Owner,19,2234,88,5,10692480
2005,106746,CNG,Automatic,Second Owner,19,2702,123,5,10722142
2017,21191,Petrol,Manual,Second Owner,11,2251,89,7,10798859
2013,89631,CNG,Automatic,First Owner,19,2766,188,5,10853546
2007,15529,CNG,Automatic,Third Owner,10,1643,195,7,10646843
2011,37175,Diesel,Automatic,Third Owner,21,1097,194,7,10538923
2010,22675,Petrol,Manual,First Owner,13,1095,136,7,10488389
2012,179230,CNG,Automatic,First Owner,19,914,107,4,10113941
2013,51798,Petrol,Manual,Second Owner,20,2708,138,5,10894684
2009,75910,CNG,Manual,Second Owner,22,2626,123,4,10779497
2005,135400,CNG,Manual,Third Owner,11,1825,173,7,10426042
2014,162048,Diesel,Manual,First Owner,19,1585,173,5,10444164
2016,199188,CNG,Manual,Third Owner,20,834,99,7,10014357
2019,83678,Diesel,Automatic,First Owner,18,2600,120,5,10863890
2013,67821,Petrol,Manual,Second Owner,11,1890,186,5,10678917
2021,17204,Diesel,Automatic,Third Owner,20,1160,152,5,10609614
2021,191737,Diesel,Automatic,Third Owner,18,1093,56,6,10100993
2016,12394,Petrol,Manual,First Owner,10,2026,170,6,10783691
2011,69814,Diesel,Manual,Third Owner,23,1754,149,6,10580439
2006,38593,Diesel,Manual,Second Owner,16,2615,73,5,10839852
2007,178036,CNG,Manual,Third Owner,24,1745,101,7,10300408
2021,120064,Diesel,Automatic,First Owner,15,1060,126,7,10318678
2009,58365,CNG,Automatic,Third Owner,15,2341,162,6,10777432
2021,136515,Diesel,Manual,Second Owner,11,2600,162,4,10731279
2021,164252,Petrol,Manual,First Owner,24,2216,166,5,10636936
2021,184863,Petrol,Automatic,First Owner,10,1201,121,7,10175874
